metric,unit,mean,p50,p75,p90,p95,p99,max
drive_time_min,min,8.970843165494305,6.829441142375549,10.452598433400869,17.661032617681137,24.766712661236475,38.58915838142001,90.560972535958
drive_distance_mi,miles,7.550811713990635,5.305242812188031,8.585393845933387,15.801609440018304,23.145150573072605,37.63650171531623,92.06226314261754
nicu_drive_time_min,min,12.639893151367303,7.987302561586485,13.104654735411783,28.690326768964777,43.061255635042514,71.80839075037544,222.49220398897936
